names,membership_1,membership_2,membership_3,membership_4,membership_5,membership_6
IND.11.6.4_1,24,22,51,37,25,30
IND.11.6.5_1,24,5,51,37,25,30
IND.11.6.6_1,24,22,51,37,25,30
IND.11.6.7_1,24,22,51,37,25,30
IND.11.6.8_1,24,22,51,37,25,30
IND.11.7.1_1,25,4,15,9,9,8
IND.11.7.10_1,25,4,15,9,9,8
IND.11.7.11_1,25,4,15,9,9,8
IND.11.7.12_1,25,4,15,9,9,8
IND.11.7.13_1,25,4,15,9,9,8
IND.11.7.14_1,25,4,15,9,9,8
IND.11.7.2_1,25,4,15,9,9,8
IND.11.7.3_1,25,4,15,9,9,8
IND.11.7.4_1,25,4,15,9,9,8
IND.11.7.5_1,,,,,,
IND.11.7.6_1,,,,,,
IND.11.7.7_1,,,,,,
IND.11.7.8_1,,,,,,
IND.11.7.9_1,25,4,15,9,9,8
IND.11.8.1_1,25,4,15,9,9,8
IND.11.8.2_1,25,4,15,9,9,8
IND.11.9.1_1,24,5,51,37,25,30
IND.11.9.2_1,24,5,51,37,25,30
IND.11.9.3_1,24,5,51,37,25,30
IND.11.9.4_1,24,5,51,37,25,30
IND.11.9.5_1,24,5,51,37,25,30
IND.12.1.1_1,16,3,10,7,7,6
IND.12.1.2_1,16,3,10,7,7,6
IND.12.10.1_1,19,7,10,7,5,6
IND.12.10.2_1,19,7,10,7,5,6
IND.12.11.1_1,16,7,10,7,5,6
IND.12.11.2_1,16,7,10,7,5,6
IND.12.12.1_1,19,7,7,4,5,4
IND.12.12.2_1,19,7,7,4,5,4
IND.12.13.1_1,19,7,7,4,5,4
IND.12.13.2_1,19,7,7,4,5,4
IND.12.14.1_1,19,7,7,4,5,4
IND.12.15.1_1,16,3,10,7,7,6
IND.12.16.1_1,19,7,10,7,5,6
IND.12.17.1_1,19,7,7,4,5,4
IND.12.17.2_1,19,7,7,4,5,4
IND.12.18.1_1,19,7,7,4,5,4
IND.12.18.2_1,19,7,7,4,5,4
IND.12.19.1_1,16,3,11,7,7,6
IND.12.19.2_1,19,7,11,7,7,6
IND.12.2.1_1,19,7,7,7,5,6
IND.12.2.2_1,19,7,7,7,5,6
IND.12.2.3_1,19,7,7,7,5,6
IND.12.2.4_1,19,7,7,7,5,6
IND.12.2.5_1,19,7,7,7,5,6
IND.12.20.1_1,19,7,10,4,5,4
IND.12.20.2_1,19,7,7,4,5,4
IND.12.20.3_1,19,7,7,4,5,4
IND.12.21.1_1,16,3,10,7,7,6
IND.12.3.1_1,19,7,7,4,5,4
IND.12.3.2_1,19,7,7,4,5,4
IND.12.4.1_1,19,7,7,7,5,6
IND.12.4.2_1,19,7,7,7,5,6
IND.12.4.3_1,16,7,10,7,5,6
IND.12.5.1_1,19,7,7,4,5,4
IND.12.5.2_1,19,7,7,4,5,4
IND.12.6.1_1,19,7,7,7,5,6
IND.12.6.2_1,19,7,7,7,5,6
IND.12.7.1_1,19,7,7,4,5,4
IND.12.7.2_1,19,7,7,4,5,4
IND.12.7.3_1,19,7,7,4,5,4
IND.12.8.1_1,19,7,10,7,5,6
IND.12.8.2_1,19,7,10,7,5,6
IND.12.8.3_1,19,7,10,7,5,6
IND.12.9.1_1,16,3,10,7,7,6
IND.12.9.2_1,16,7,10,7,5,6
IND.13.1.1_1,16,3,12,8,7,6
IND.13.1.2_1,16,3,12,8,7,6
IND.13.10.1_1,16,3,10,7,7,6
IND.13.10.2_1,16,3,10,7,7,6
IND.13.10.3_1,12,8,8,5,6,12
IND.13.10.4_1,16,3,10,7,7,6
IND.13.10.5_1,16,3,10,7,7,6
IND.13.10.6_1,12,8,8,5,6,12
IND.13.11.1_1,16,3,10,8,7,6
IND.13.11.2_1,16,3,10,7,7,6
IND.13.11.3_1,16,3,10,7,7,6
IND.13.11.4_1,16,3,10,7,7,6
IND.13.11.5_1,16,3,10,7,7,6
IND.13.12.1_1,16,3,12,8,7,6
IND.13.12.2_1,16,3,12,8,7,6
IND.13.2.1_1,16,3,12,8,,6
IND.13.2.2_1,16,3,12,8,7,6
IND.13.2.3_1,16,3,12,8,7,6
IND.13.2.4_1,16,3,12,8,7,6
IND.13.2.5_1,,,,,,
IND.13.2.6_1,16,3,12,8,7,6
IND.13.3.1_1,16,3,12,8,7,6
IND.13.3.2_1,16,3,12,8,7,6
IND.13.3.3_1,16,3,12,8,7,6
IND.13.3.4_1,16,3,12,8,7,6
IND.13.4.1_1,16,3,12,8,7,6
IND.13.4.10_1,16,3,12,7,7,6
IND.13.4.11_1,16,3,12,8,7,6
IND.13.4.2_1,16,3,12,8,7,6
IND.13.4.3_1,16,3,12,8,7,6
IND.13.4.4_1,16,3,12,8,7,6
IND.13.4.5_1,16,3,12,7,7,6
IND.13.4.6_1,16,3,12,8,7,6
IND.13.4.7_1,16,3,12,7,7,6
IND.13.4.8_1,16,3,12,8,7,6
IND.13.4.9_1,16,3,12,7,7,6
IND.13.5.1_1,16,3,9,7,7,5
IND.13.5.2_1,16,3,59,7,7,5
IND.13.5.3_1,26,,,,,
IND.13.5.4_1,16,3,9,7,7,5
IND.13.5.5_1,,3,59,7,7,5
IND.13.5.6_1,16,3,9,7,7,5
IND.13.6.1_1,16,3,12,7,7,5
IND.13.6.2_1,16,3,12,8,7,6
IND.13.6.3_1,16,3,12,8,7,6
IND.13.6.4_1,16,3,9,7,7,5
IND.13.7.1_1,16,,,8,7,6
IND.13.7.2_1,26,,,,,
IND.13.8.1_1,16,3,12,8,7,6
IND.13.8.2_1,16,3,12,8,7,6
IND.13.8.3_1,16,3,9,7,7,5
IND.13.8.4_1,16,3,12,8,7,6
IND.13.8.5_1,16,3,12,8,7,6
IND.13.8.6_1,16,3,12,8,7,6
IND.13.8.7_1,16,3,12,8,7,6
IND.13.9.1_1,12,8,,,6,5
IND.13.9.10_1,16,3,9,7,7,5
IND.13.9.11_1,16,3,9,7,7,5
IND.13.9.2_1,22,3,6,6,7,5
IND.13.9.3_1,16,3,9,7,7,5
IND.13.9.4_1,16,3,9,7,7,5
IND.13.9.5_1,,,,,,
IND.13.9.6_1,16,3,9,7,7,5
IND.13.9.7_1,16,3,9,7,7,5
IND.13.9.8_1,22,3,6,6,7,5
IND.13.9.9_1,16,3,9,7,7,5
IND.14.1.1_1,15,24,13,3,4,7
IND.14.10.1_1,16,3,13,3,7,7
IND.14.11.1_1,16,,,,,
IND.14.11.2_1,15,24,13,3,4,7
IND.14.12.1_1,15,24,13,3,4,7
IND.14.13.1_1,19,7,10,4,5,4
IND.14.14.1_1,16,3,,7,7,7
IND.14.15.1_1,15,24,13,3,4,7
IND.14.16.1_1,16,3,13,7,7,7
IND.14.17.1_1,16,3,13,3,7,7
IND.14.18.1_1,16,3,13,7,7,7
IND.14.19.1_1,16,3,13,7,7,7
IND.14.2.1_1,15,24,13,3,4,7
